material,thermal_conductivity,density,specific_heat,wall_thickness,roof_thickness,length,width,height,orientation,insulation_thickness,window_to_wall_ratio,outdoor_temperature,humidity,solar_radiation,wind_speed,pressure,interior_temperature
stabilized_earth_block,0.85,1800.0,880.0,0.228,0.099,4.81,7.88,2.97,167.4,0.189,0.07,21.2,63.0,1012.9,9.6,645.3,28.41
burnt_clay_brick,0.77,1900.0,840.0,0.534,0.288,5.08,5.66,4.45,35.9,0.063,0.35,12.2,24.9,600.7,12.0,989.1,14.33
stabilized_earth_block,0.85,1800.0,880.0,0.12,0.375,5.74,6.43,3.96,6.6,0.137,0.17,-3.8,89.7,1078.6,7.6,626.0,18.45
burnt_clay_brick,0.77,1900.0,840.0,0.539,0.365,10.33,3.21,3.57,100.9,0.03,0.36,21.0,17.0,482.2,24.1,857.2,23.28
polyurethane_sandwich,0.022,40.0,1400.0,0.443,0.214,8.16,5.99,3.06,217.9,0.09,0.1,20.7,56.5,784.0,5.9,658.0,25.86
polyurethane_sandwich,0.022,40.0,1400.0,0.453,0.248,4.22,9.97,4.45,52.3,0.187,0.37,-2.8,54.6,1048.6,3.8,733.4,24.28
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.464,0.325,10.92,5.9,3.26,159.5,0.187,0.36,40.3,31.9,879.1,3.6,677.6,35.14
timber_frame,0.13,500.0,1600.0,0.408,0.274,8.51,7.17,2.88,9.4,0.016,0.32,-15.6,77.7,568.8,16.6,677.3,6.22
eps_insulated_concrete,0.038,1250.0,1100.0,0.346,0.124,4.74,3.23,4.01,5.4,0.054,0.19,27.0,89.1,857.8,2.6,989.4,29.88
eps_insulated_concrete,0.038,1250.0,1100.0,0.534,0.237,5.92,6.2,2.92,145.8,0.008,0.31,1.6,35.0,711.5,18.8,849.4,35.03
timber_frame,0.13,500.0,1600.0,0.421,0.305,3.35,3.77,3.36,316.0,0.176,0.14,12.7,88.7,139.3,10.3,921.4,14.45
stabilized_earth_block,0.85,1800.0,880.0,0.195,0.221,10.96,8.42,3.0,59.9,0.059,0.37,23.3,82.3,563.6,16.5,638.0,25.96
timber_frame,0.13,500.0,1600.0,0.157,0.329,11.44,7.87,2.68,148.9,0.09,0.11,16.3,67.0,301.9,11.9,705.0,19.55
polyurethane_sandwich,0.022,40.0,1400.0,0.424,0.308,4.48,8.13,2.59,254.2,0.127,0.08,24.5,68.1,1075.2,15.7,667.2,28.15
timber_frame,0.13,500.0,1600.0,0.29,0.326,11.21,6.96,3.79,54.0,0.174,0.11,24.8,43.6,409.5,19.4,787.4,26.9
polyurethane_sandwich,0.022,40.0,1400.0,0.19,0.368,11.64,3.02,4.01,4.4,0.1,0.22,31.5,58.6,593.5,6.2,877.0,20.21
eps_insulated_concrete,0.038,1250.0,1100.0,0.305,0.105,8.4,4.71,3.55,223.1,0.112,0.34,-21.6,21.9,753.3,1.9,958.6,10.6
polyurethane_sandwich,0.022,40.0,1400.0,0.389,0.273,5.98,3.61,2.63,357.7,0.032,0.15,21.3,66.0,672.3,14.5,1005.8,23.98
polyurethane_sandwich,0.022,40.0,1400.0,0.389,0.378,3.84,5.1,3.17,136.4,0.014,0.2,13.5,33.4,234.5,17.7,715.3,16.59
timber_frame,0.13,500.0,1600.0,0.307,0.147,4.88,3.41,3.6,352.6,0.106,0.08,25.7,58.4,888.2,18.0,779.4,28.9
burnt_clay_brick,0.77,1900.0,840.0,0.23,0.264,8.61,9.49,3.69,178.7,0.146,0.22,31.6,80.7,332.7,8.0,681.3,22.35
stabilized_earth_block,0.85,1800.0,880.0,0.112,0.28,4.06,8.94,4.08,359.6,0.083,0.17,14.2,61.0,111.3,5.8,718.3,16.41
stabilized_earth_block,0.85,1800.0,880.0,0.254,0.242,5.92,3.04,3.84,122.9,0.145,0.27,-23.0,24.1,430.5,9.1,882.4,1.2
eps_insulated_concrete,0.038,1250.0,1100.0,0.499,0.287,7.33,7.39,4.27,193.3,0.067,0.32,4.0,69.4,935.1,8.2,904.5,41.93
burnt_clay_brick,0.77,1900.0,840.0,0.378,0.086,8.2,5.32,4.32,286.5,0.013,0.1,33.9,37.1,475.2,13.8,669.7,28.22
timber_frame,0.13,500.0,1600.0,0.295,0.27,10.78,8.26,3.88,113.2,0.006,0.19,9.8,29.0,551.9,23.8,690.8,13.0
burnt_clay_brick,0.77,1900.0,840.0,0.188,0.2,3.34,4.41,2.59,182.2,0.16,0.37,-14.2,37.2,583.5,22.0,730.4,15.31
burnt_clay_brick,0.77,1900.0,840.0,0.172,0.359,10.4,9.57,3.82,47.8,0.145,0.21,25.0,51.8,104.1,23.4,888.6,27.7
timber_frame,0.13,500.0,1600.0,0.536,0.187,11.0,3.72,4.01,268.4,0.004,0.32,19.7,26.8,300.6,7.9,823.6,22.43
eps_insulated_concrete,0.038,1250.0,1100.0,0.436,0.167,4.42,3.8,4.41,201.5,0.02,0.24,13.5,31.7,1043.3,20.3,841.1,21.8
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.136,0.276,6.05,6.11,2.67,169.5,0.135,0.09,-21.2,44.1,279.0,15.3,849.0,2.19
polyurethane_sandwich,0.022,40.0,1400.0,0.45,0.277,5.81,8.72,3.9,241.5,0.107,0.39,27.9,47.3,231.8,20.5,986.3,30.91
eps_insulated_concrete,0.038,1250.0,1100.0,0.149,0.179,8.8,8.37,3.39,341.1,0.029,0.36,-6.9,39.1,283.4,23.0,738.7,14.66
burnt_clay_brick,0.77,1900.0,840.0,0.327,0.09,7.28,5.46,3.37,61.5,0.154,0.26,-16.1,18.2,917.6,20.1,736.9,8.96
polyurethane_sandwich,0.022,40.0,1400.0,0.135,0.177,7.15,7.13,2.9,87.7,0.032,0.22,-20.4,26.7,794.1,11.3,1011.7,2.84
timber_frame,0.13,500.0,1600.0,0.494,0.254,5.13,7.64,2.56,335.1,0.115,0.22,16.5,47.0,655.1,20.7,674.0,18.89
eps_insulated_concrete,0.038,1250.0,1100.0,0.135,0.115,10.33,8.4,3.2,177.9,0.132,0.08,32.2,81.0,1003.3,16.3,600.1,27.74
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.43,0.225,5.62,7.31,3.34,74.0,0.175,0.15,30.6,64.4,1018.5,23.5,901.5,18.24
burnt_clay_brick,0.77,1900.0,840.0,0.595,0.266,8.5,6.57,4.18,306.9,0.012,0.37,42.8,10.1,660.0,24.5,646.1,37.0
burnt_clay_brick,0.77,1900.0,840.0,0.533,0.155,9.32,5.76,3.07,137.8,0.076,0.24,21.4,48.0,288.2,10.2,988.3,24.29
eps_insulated_concrete,0.038,1250.0,1100.0,0.177,0.399,9.03,3.94,2.55,5.7,0.144,0.22,5.6,89.2,184.7,16.4,774.7,7.87
eps_insulated_concrete,0.038,1250.0,1100.0,0.547,0.303,11.37,7.36,3.35,152.7,0.164,0.18,-9.2,44.0,107.4,13.0,907.0,17.97
polyurethane_sandwich,0.022,40.0,1400.0,0.351,0.211,7.92,5.57,4.45,204.5,0.141,0.09,8.7,65.2,242.1,18.6,1013.1,12.6
burnt_clay_brick,0.77,1900.0,840.0,0.332,0.105,11.01,3.62,3.39,267.0,0.192,0.08,19.4,73.8,412.5,2.3,744.3,22.21
stabilized_earth_block,0.85,1800.0,880.0,0.334,0.244,7.22,8.14,3.28,345.8,0.16,0.15,-22.5,83.8,849.4,18.4,836.8,1.28
stabilized_earth_block,0.85,1800.0,880.0,0.415,0.265,8.16,7.59,3.01,265.5,0.005,0.22,-16.1,16.1,883.8,7.0,858.6,-2.43
burnt_clay_brick,0.77,1900.0,840.0,0.529,0.085,4.0,4.22,3.64,54.4,0.089,0.33,-6.7,66.1,584.9,20.2,962.0,16.09
burnt_clay_brick,0.77,1900.0,840.0,0.592,0.39,8.36,8.75,4.16,271.0,0.083,0.18,21.2,68.1,267.3,14.9,953.6,22.96
stabilized_earth_block,0.85,1800.0,880.0,0.421,0.322,4.04,4.17,3.24,108.5,0.149,0.31,12.3,40.4,805.6,12.4,661.0,16.51
eps_insulated_concrete,0.038,1250.0,1100.0,0.106,0.377,7.04,7.75,4.42,245.8,0.008,0.37,19.6,86.5,531.8,23.0,960.5,23.36
burnt_clay_brick,0.77,1900.0,840.0,0.235,0.337,5.3,7.09,3.37,243.1,0.048,0.29,28.9,51.6,777.7,24.8,731.6,23.49
stabilized_earth_block,0.85,1800.0,880.0,0.436,0.346,3.11,3.68,2.62,160.5,0.044,0.15,-11.5,11.9,191.9,23.5,875.8,7.54
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.575,0.284,9.37,3.84,4.2,46.8,0.131,0.36,14.6,87.4,996.0,17.7,706.4,18.32
eps_insulated_concrete,0.038,1250.0,1100.0,0.43,0.104,7.08,9.97,4.02,249.2,0.134,0.32,-7.0,72.5,377.3,2.5,763.2,19.77
stabilized_earth_block,0.85,1800.0,880.0,0.229,0.34,4.6,3.49,4.46,72.2,0.079,0.28,-17.4,53.3,531.3,15.7,644.6,2.86
eps_insulated_concrete,0.038,1250.0,1100.0,0.458,0.113,3.66,7.0,2.93,160.5,0.179,0.1,19.8,84.6,764.6,7.4,894.0,24.95
eps_insulated_concrete,0.038,1250.0,1100.0,0.387,0.245,11.46,6.43,3.32,303.9,0.156,0.32,12.8,10.3,1054.2,20.6,802.5,15.78
timber_frame,0.13,500.0,1600.0,0.368,0.397,6.0,5.12,2.52,358.9,0.129,0.18,34.7,37.2,941.2,19.3,721.8,23.98
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.188,0.093,6.46,4.34,3.86,322.7,0.126,0.18,-19.1,60.6,835.3,4.4,681.1,3.5
polyurethane_sandwich,0.022,40.0,1400.0,0.598,0.156,6.5,8.55,3.75,179.9,0.193,0.33,42.7,11.3,439.3,9.1,902.8,32.07
eps_insulated_concrete,0.038,1250.0,1100.0,0.159,0.338,9.01,6.21,3.82,314.7,0.03,0.25,39.7,13.0,241.6,16.7,797.9,29.88
timber_frame,0.13,500.0,1600.0,0.123,0.304,4.17,4.21,2.5,110.6,0.159,0.21,-13.1,57.3,917.8,3.6,808.8,11.65
timber_frame,0.13,500.0,1600.0,0.21,0.337,6.84,8.68,4.46,244.2,0.065,0.39,15.3,21.0,936.4,20.0,921.0,19.68
timber_frame,0.13,500.0,1600.0,0.187,0.1,5.47,8.3,2.75,133.2,0.033,0.14,15.7,20.7,891.1,16.2,758.0,21.01
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.108,0.236,3.06,4.26,2.59,234.6,0.177,0.2,31.5,71.8,792.4,5.9,868.7,22.84
timber_frame,0.13,500.0,1600.0,0.325,0.157,4.57,7.84,3.65,258.2,0.122,0.08,32.9,34.1,518.8,14.4,680.6,21.92
timber_frame,0.13,500.0,1600.0,0.588,0.278,10.76,9.91,3.47,167.1,0.125,0.12,-21.3,19.0,249.2,21.3,982.8,4.57
eps_insulated_concrete,0.038,1250.0,1100.0,0.188,0.294,3.39,7.51,3.0,156.5,0.067,0.33,28.1,13.5,840.4,23.2,673.9,23.17
stabilized_earth_block,0.85,1800.0,880.0,0.343,0.117,11.06,8.05,3.64,117.4,0.04,0.29,-2.2,72.3,426.1,3.4,909.9,17.21
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.288,0.151,7.24,6.39,4.27,52.2,0.186,0.21,2.1,20.9,819.8,16.2,1009.7,26.33
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.268,0.09,8.12,4.96,2.63,167.6,0.084,0.32,-9.6,33.6,256.8,20.1,1000.2,13.48
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.389,0.257,5.07,5.88,3.5,310.4,0.043,0.22,7.4,11.2,528.1,21.9,704.1,10.61
eps_insulated_concrete,0.038,1250.0,1100.0,0.39,0.365,8.33,4.04,3.6,1.8,0.196,0.06,7.9,71.5,133.6,13.7,801.3,10.08
polyurethane_sandwich,0.022,40.0,1400.0,0.511,0.225,5.16,6.91,2.43,263.4,0.19,0.1,-4.3,61.8,190.7,12.5,728.0,20.74
polyurethane_sandwich,0.022,40.0,1400.0,0.33,0.263,8.25,9.83,3.37,49.9,0.141,0.11,36.0,60.1,803.9,1.0,863.5,23.86
eps_insulated_concrete,0.038,1250.0,1100.0,0.547,0.187,3.29,5.98,2.97,340.6,0.108,0.33,30.1,16.5,980.8,18.7,623.0,19.78
polyurethane_sandwich,0.022,40.0,1400.0,0.282,0.097,6.45,6.26,2.49,131.9,0.13,0.3,14.3,71.9,238.4,9.0,826.6,17.92
polyurethane_sandwich,0.022,40.0,1400.0,0.339,0.381,8.22,9.71,2.84,268.2,0.045,0.17,-6.3,64.4,377.1,2.5,745.0,17.97
eps_insulated_concrete,0.038,1250.0,1100.0,0.351,0.345,7.23,6.72,4.13,323.8,0.09,0.18,22.1,65.5,1078.1,22.2,679.1,25.66
eps_insulated_concrete,0.038,1250.0,1100.0,0.144,0.205,4.61,9.71,2.56,59.3,0.022,0.1,-14.5,26.3,1052.1,1.5,774.9,8.78
polyurethane_sandwich,0.022,40.0,1400.0,0.371,0.122,6.12,6.11,3.75,104.9,0.013,0.36,-8.7,85.8,744.7,10.9,744.0,18.01
polyurethane_sandwich,0.022,40.0,1400.0,0.493,0.236,8.99,6.71,3.55,164.9,0.113,0.36,-3.5,73.1,326.8,9.9,721.0,24.55
stabilized_earth_block,0.85,1800.0,880.0,0.174,0.171,11.61,7.33,2.74,192.7,0.036,0.11,24.6,82.4,894.5,4.9,649.1,31.48
burnt_clay_brick,0.77,1900.0,840.0,0.387,0.221,6.33,4.44,3.88,239.6,0.196,0.1,6.4,88.0,633.6,3.9,610.5,10.51
eps_insulated_concrete,0.038,1250.0,1100.0,0.484,0.383,11.35,4.09,4.44,196.6,0.101,0.28,-4.3,81.7,1069.6,19.1,1017.5,34.25
polyurethane_sandwich,0.022,40.0,1400.0,0.174,0.261,11.16,6.09,3.85,263.4,0.18,0.1,13.6,34.6,501.6,21.2,787.3,15.65
stabilized_earth_block,0.85,1800.0,880.0,0.263,0.275,4.76,6.69,4.04,276.2,0.039,0.08,34.5,64.2,1057.6,24.4,765.7,27.56
eps_insulated_concrete,0.038,1250.0,1100.0,0.259,0.274,11.49,9.36,3.16,53.3,0.171,0.18,1.1,32.8,451.4,24.5,967.2,25.94
stabilized_earth_block,0.85,1800.0,880.0,0.208,0.364,9.67,5.91,3.33,59.0,0.146,0.36,26.0,43.1,935.5,15.4,660.3,29.39
burnt_clay_brick,0.77,1900.0,840.0,0.337,0.358,11.88,3.46,4.42,272.2,0.018,0.19,39.0,43.2,655.8,18.0,917.2,34.24
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.2,0.346,5.61,6.43,4.13,108.7,0.117,0.22,26.8,28.0,891.2,4.7,726.1,30.42
polyurethane_sandwich,0.022,40.0,1400.0,0.517,0.231,8.88,9.25,3.28,177.1,0.138,0.14,-16.6,32.2,1094.3,2.6,913.1,22.13
timber_frame,0.13,500.0,1600.0,0.34,0.22,5.32,7.8,4.45,294.6,0.075,0.31,-23.8,30.8,681.7,4.5,793.6,-1.57
polyurethane_sandwich,0.022,40.0,1400.0,0.168,0.132,5.45,5.94,4.32,128.2,0.058,0.24,40.5,51.1,866.4,5.4,639.7,32.9
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.372,0.359,10.44,7.79,3.03,246.8,0.138,0.08,15.6,75.9,112.9,13.4,756.7,17.81
eps_insulated_concrete,0.038,1250.0,1100.0,0.306,0.375,4.47,4.53,3.46,299.4,0.159,0.25,23.3,86.2,946.1,18.1,895.0,26.52
stabilized_earth_block,0.85,1800.0,880.0,0.309,0.373,4.05,3.92,2.44,125.4,0.138,0.1,5.9,89.0,623.1,24.3,672.3,9.78
burnt_clay_brick,0.77,1900.0,840.0,0.114,0.341,5.0,9.0,2.7,81.6,0.025,0.1,-19.5,65.3,884.0,2.9,925.4,-6.24
eps_insulated_concrete,0.038,1250.0,1100.0,0.121,0.115,10.14,6.59,2.52,42.8,0.051,0.07,21.7,70.4,882.4,23.1,686.3,24.58
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.192,0.192,3.82,8.92,4.38,341.6,0.07,0.11,10.0,68.3,341.8,14.7,641.6,11.84
timber_frame,0.13,500.0,1600.0,0.482,0.249,9.44,9.75,2.76,271.4,0.001,0.3,39.7,83.6,951.3,12.4,893.2,32.17
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.32,0.386,4.63,5.48,3.2,77.1,0.046,0.09,43.9,19.9,210.3,4.3,920.2,34.41
polyurethane_sandwich,0.022,40.0,1400.0,0.244,0.311,3.74,6.46,3.21,164.5,0.147,0.29,33.9,28.1,507.3,24.6,779.7,24.53
stabilized_earth_block,0.85,1800.0,880.0,0.547,0.337,11.45,5.57,2.43,242.7,0.134,0.19,11.6,64.1,219.2,10.5,891.9,13.94
stabilized_earth_block,0.85,1800.0,880.0,0.471,0.366,4.52,5.55,2.82,72.1,0.169,0.19,-8.7,44.0,599.1,19.4,921.7,15.22
timber_frame,0.13,500.0,1600.0,0.236,0.333,8.79,5.8,3.4,217.1,0.081,0.22,-5.5,71.4,208.0,7.0,808.9,16.76
polyurethane_sandwich,0.022,40.0,1400.0,0.571,0.09,9.64,8.81,3.45,9.6,0.036,0.26,-2.1,34.2,723.2,19.2,877.7,24.28
timber_frame,0.13,500.0,1600.0,0.484,0.334,4.82,7.63,3.43,94.2,0.069,0.35,13.3,86.2,131.6,11.3,984.3,15.06
eps_insulated_concrete,0.038,1250.0,1100.0,0.325,0.353,6.98,3.25,2.77,237.4,0.156,0.36,-13.5,44.5,412.5,10.3,920.9,14.1
timber_frame,0.13,500.0,1600.0,0.438,0.291,9.17,7.01,3.4,307.6,0.101,0.19,9.6,87.7,716.9,9.5,1010.7,12.17
burnt_clay_brick,0.77,1900.0,840.0,0.131,0.269,4.15,5.56,4.1,210.2,0.153,0.27,1.6,44.3,1091.9,10.9,623.7,34.65
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.224,0.287,8.33,9.37,2.54,109.8,0.068,0.06,-2.2,46.9,963.4,14.6,978.6,20.74
burnt_clay_brick,0.77,1900.0,840.0,0.11,0.23,3.2,5.22,3.6,116.1,0.02,0.22,23.4,26.5,596.7,20.5,880.3,26.44
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.407,0.196,6.92,6.48,4.18,283.4,0.168,0.24,-4.9,13.8,1096.2,10.6,694.9,20.04
polyurethane_sandwich,0.022,40.0,1400.0,0.579,0.31,8.2,7.14,2.97,203.9,0.106,0.2,-0.7,16.1,923.7,13.1,726.0,34.09
polyurethane_sandwich,0.022,40.0,1400.0,0.37,0.144,6.62,7.37,3.35,274.8,0.036,0.06,24.2,79.0,676.8,6.1,1004.1,27.68
polyurethane_sandwich,0.022,40.0,1400.0,0.569,0.166,8.74,8.66,4.19,326.5,0.187,0.3,-20.8,26.1,562.5,6.8,913.5,4.94
burnt_clay_brick,0.77,1900.0,840.0,0.522,0.211,10.74,9.38,3.73,304.5,0.053,0.15,-13.8,64.9,336.1,6.7,663.0,5.77
stabilized_earth_block,0.85,1800.0,880.0,0.223,0.345,7.18,6.92,3.32,232.9,0.007,0.11,-15.4,30.7,903.5,16.8,673.9,0.91
stabilized_earth_block,0.85,1800.0,880.0,0.582,0.235,3.18,9.02,2.58,216.6,0.173,0.37,3.5,39.1,757.4,3.2,996.1,35.56
polyurethane_sandwich,0.022,40.0,1400.0,0.521,0.156,8.14,6.5,2.65,239.1,0.116,0.32,11.8,49.7,190.2,15.4,924.7,14.28
burnt_clay_brick,0.77,1900.0,840.0,0.265,0.267,6.51,8.24,2.9,152.2,0.029,0.11,42.9,45.2,354.3,15.1,806.0,38.57
burnt_clay_brick,0.77,1900.0,840.0,0.45,0.116,7.91,6.32,2.92,100.0,0.157,0.1,8.3,39.4,408.2,16.5,980.2,11.03
stabilized_earth_block,0.85,1800.0,880.0,0.521,0.292,11.47,7.83,4.06,86.3,0.111,0.16,42.1,39.0,912.3,3.9,964.1,32.24
eps_insulated_concrete,0.038,1250.0,1100.0,0.294,0.371,6.54,9.85,2.94,32.5,0.165,0.13,-10.3,81.2,1015.9,16.2,969.4,16.1
polyurethane_sandwich,0.022,40.0,1400.0,0.303,0.091,10.8,8.76,4.38,169.6,0.083,0.34,25.2,80.1,920.2,20.8,893.4,32.38
timber_frame,0.13,500.0,1600.0,0.133,0.215,9.56,6.83,3.09,250.3,0.152,0.27,-12.1,45.5,741.1,1.1,684.0,11.22
burnt_clay_brick,0.77,1900.0,840.0,0.257,0.106,4.42,6.61,4.44,299.0,0.153,0.35,23.0,73.4,419.4,12.5,908.8,24.89
burnt_clay_brick,0.77,1900.0,840.0,0.187,0.27,5.95,4.97,2.58,132.3,0.079,0.18,33.4,55.6,120.7,1.6,834.6,24.78
timber_frame,0.13,500.0,1600.0,0.413,0.37,11.77,4.39,3.87,60.8,0.08,0.2,-6.8,17.1,467.9,23.7,649.3,16.67
polyurethane_sandwich,0.022,40.0,1400.0,0.363,0.327,11.35,8.79,3.44,80.8,0.041,0.38,31.9,31.3,846.4,10.2,781.1,21.44
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.4,0.398,5.55,7.74,3.28,147.1,0.029,0.15,-6.7,59.4,1007.3,9.9,887.4,23.66
eps_insulated_concrete,0.038,1250.0,1100.0,0.143,0.23,10.84,9.82,3.23,76.4,0.077,0.2,16.8,15.8,657.0,2.3,991.0,19.65
eps_insulated_concrete,0.038,1250.0,1100.0,0.554,0.399,11.45,9.77,3.66,269.4,0.009,0.14,18.4,34.2,494.7,9.9,1006.6,22.16
timber_frame,0.13,500.0,1600.0,0.121,0.137,4.53,6.45,3.11,168.5,0.018,0.3,5.3,30.8,413.3,24.5,809.7,10.08
burnt_clay_brick,0.77,1900.0,840.0,0.474,0.376,5.55,9.14,3.69,274.2,0.053,0.16,37.5,35.2,1094.6,19.3,663.5,30.23
polyurethane_sandwich,0.022,40.0,1400.0,0.418,0.221,4.7,3.38,2.78,169.3,0.033,0.21,-16.9,81.6,594.9,11.6,1015.3,14.13
timber_frame,0.13,500.0,1600.0,0.343,0.238,10.61,9.07,2.66,33.7,0.174,0.11,-13.2,50.7,372.8,22.4,846.0,9.57
timber_frame,0.13,500.0,1600.0,0.599,0.081,9.9,4.26,4.33,88.6,0.1,0.08,-2.0,32.7,1081.3,3.9,756.9,23.81
stabilized_earth_block,0.85,1800.0,880.0,0.518,0.129,3.73,8.81,3.79,163.5,0.191,0.26,-24.6,87.6,756.2,23.8,736.5,8.33
polyurethane_sandwich,0.022,40.0,1400.0,0.6,0.37,10.17,3.91,4.21,288.6,0.057,0.33,27.1,53.8,702.3,3.2,707.2,29.35
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.583,0.357,3.8,8.97,2.74,280.6,0.057,0.31,20.8,19.6,590.8,11.4,938.7,23.22
burnt_clay_brick,0.77,1900.0,840.0,0.552,0.273,6.23,3.67,3.17,72.0,0.089,0.19,-6.2,58.0,190.2,11.1,754.7,14.97
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.317,0.216,3.36,5.39,3.37,80.7,0.137,0.1,9.7,60.4,624.7,8.0,783.7,13.03
eps_insulated_concrete,0.038,1250.0,1100.0,0.25,0.395,9.16,5.1,2.92,154.0,0.114,0.24,39.2,51.1,610.7,10.9,795.2,31.86
polyurethane_sandwich,0.022,40.0,1400.0,0.384,0.161,5.29,3.57,3.46,41.0,0.132,0.11,-12.2,41.4,183.3,22.0,725.0,12.0
timber_frame,0.13,500.0,1600.0,0.462,0.322,7.05,8.65,3.12,330.5,0.162,0.12,-19.5,88.6,359.3,17.2,782.2,4.96
stabilized_earth_block,0.85,1800.0,880.0,0.103,0.117,4.55,6.34,3.85,312.8,0.193,0.26,9.1,59.5,1073.9,9.7,883.0,12.34
polyurethane_sandwich,0.022,40.0,1400.0,0.438,0.337,3.79,3.95,2.8,293.7,0.139,0.12,-23.1,48.5,245.2,6.8,953.7,1.06
timber_frame,0.13,500.0,1600.0,0.195,0.176,7.17,6.32,2.45,59.8,0.03,0.3,42.5,47.7,959.8,15.0,684.6,35.87
timber_frame,0.13,500.0,1600.0,0.515,0.205,6.0,3.72,4.18,155.4,0.083,0.22,15.5,68.5,1099.0,1.9,767.9,23.26
timber_frame,0.13,500.0,1600.0,0.396,0.276,9.11,8.72,3.42,257.1,0.106,0.2,-2.9,15.1,992.9,11.0,798.8,21.51
eps_insulated_concrete,0.038,1250.0,1100.0,0.411,0.287,7.03,6.05,2.74,261.4,0.094,0.2,10.5,57.0,785.0,23.1,958.5,13.29
polyurethane_sandwich,0.022,40.0,1400.0,0.428,0.122,5.64,7.98,4.42,299.9,0.135,0.31,30.7,74.0,944.5,15.9,718.6,18.56
polyurethane_sandwich,0.022,40.0,1400.0,0.143,0.235,4.56,4.09,3.43,285.7,0.189,0.22,-8.6,54.5,1099.3,9.6,709.5,16.53
polyurethane_sandwich,0.022,40.0,1400.0,0.179,0.345,11.05,3.22,2.53,155.0,0.124,0.09,-9.3,30.6,440.3,9.5,619.6,18.8
timber_frame,0.13,500.0,1600.0,0.234,0.128,9.21,6.61,3.81,254.3,0.185,0.2,7.0,77.3,210.9,3.5,856.4,10.08
stabilized_earth_block,0.85,1800.0,880.0,0.512,0.093,3.95,7.41,4.23,328.0,0.031,0.15,5.9,50.5,832.6,3.4,871.8,8.24
burnt_clay_brick,0.77,1900.0,840.0,0.51,0.119,4.82,9.79,4.02,2.4,0.167,0.22,-4.9,23.7,366.0,18.2,774.3,19.31
polyurethane_sandwich,0.022,40.0,1400.0,0.432,0.129,9.78,5.95,2.88,288.6,0.083,0.19,7.1,78.2,894.6,9.7,612.5,9.82
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.485,0.31,7.66,3.49,3.11,144.6,0.154,0.2,2.5,13.0,1022.5,4.6,841.3,35.68
polyurethane_sandwich,0.022,40.0,1400.0,0.59,0.336,10.88,9.81,3.28,318.9,0.14,0.36,25.5,35.1,444.2,20.8,978.1,27.79
timber_frame,0.13,500.0,1600.0,0.56,0.304,7.02,4.44,3.54,283.8,0.13,0.29,37.1,72.5,504.5,5.7,726.6,25.04
stabilized_earth_block,0.85,1800.0,880.0,0.369,0.205,9.47,9.16,3.49,194.7,0.043,0.23,-3.1,37.3,735.7,1.6,973.9,23.17
timber_frame,0.13,500.0,1600.0,0.396,0.157,9.97,8.09,4.47,39.8,0.012,0.18,18.9,38.4,147.7,16.6,652.4,20.73
burnt_clay_brick,0.77,1900.0,840.0,0.386,0.082,6.05,4.65,3.97,209.4,0.143,0.38,21.6,77.6,333.8,8.2,880.1,25.44
polyurethane_sandwich,0.022,40.0,1400.0,0.386,0.125,6.4,8.16,2.62,185.9,0.039,0.32,6.8,21.7,525.7,10.9,638.7,11.81
eps_insulated_concrete,0.038,1250.0,1100.0,0.544,0.232,7.02,5.59,3.51,211.8,0.104,0.19,-6.5,49.9,523.4,11.6,991.0,24.88
eps_insulated_concrete,0.038,1250.0,1100.0,0.466,0.213,4.47,6.54,3.42,164.8,0.194,0.23,12.0,65.6,555.4,1.8,665.9,16.63
timber_frame,0.13,500.0,1600.0,0.285,0.385,8.41,5.86,2.65,205.8,0.008,0.1,1.0,89.3,403.3,12.7,932.3,23.03
autoclaved_aerated_concrete,0.16,550.0,1000.0,0.492,0.215,11.43,5.14,3.0,65.9,0.148,0.05,13.3,15.4,144.7,12.5,730.1,15.75
eps_insulated_concrete,0.038,1250.0,1100.0,0.55,0.33,7.28,8.04,3.67,274.3,0.101,0.21,6.5,45.9,966.3,8.8,935.9,9.77
polyurethane_sandwich,0.022,40.0,1400.0,0.412,0.204,11.1,5.37,2.5,241.4,0.089,0.15,-18.8,23.2,124.8,16.1,924.1,5.32
burnt_clay_brick,0.77,1900.0,840.0,0.381,0.12,8.03,4.35,3.7,207.7,0.011,0.25,-11.7,48.1,996.9,3.9,993.2,13.06
